Verketten;Laenge;2_a_Leistung 2 (hyd) [kW];Normleistung;Preis;Typ;Breite;Hoehe;H_Lam;2_a_Leistung 1 (hyd) [kW];2_a_Temperatur 1 [C];2_a_Temperatur 2 [C];2_a_Temperatur 3 [C];Nenndruck bar Extra (%);Nenndruck PN (bar);Exponential;Gewicht leer (kg);3_a_Fabrikat;Modelle;3_c_Farbe 1;Farbe Extra;Ausfuehrung;3_c_Material 1;Zubehoer;Zubehoeranzahl;Zubehoereinzelpreis;Zubehoer_Total_Preis;Total_Preis;N(mm)/1m;A(m2);A(m2)/1m;V(dm3);V(dm3)/1m;M(kg);M(kg)/1m;S_k(%)/1m;q_ms_(kg/h)/1m;Waermeleistung_50K/1m;Charleston_Typ;Stueck;Einzelpreis;Watt_pro_element;Horizontal_Vertikal;Main Typ;Preis mit AB;Nennbauhoehe;Grundpreis
41101100;1012;2.97;2970;1520.2;4110-22;136;1100;0;1186.609978;50;40;21;13;10;1.25;2.96;Zehnder;Charleston;Kat_1;;Gliederheizkoerper;Stahl;Wandkonsole;4;;;1520.2;1034;0.34408;0.34;2.024;2;2.99552;2.96;15;11.6;135;4110;22;69.10;135.0;;4saeuler;;;
41201200;1012;3.234;3234;1713.8;4120-22;136;1200;0;1951.311892;60;50;21;13;10;1.31;3.22;Zehnder;Charleston;Standard;;Gliederheizkoerper;Stahl;Wandkonsole;4;;;1713.8;1134;0.37444;0.37;2.1252;2.1;3.25864;3.22;15;12.6;147;4120;22;77.90;147.0;;4saeuler;;;
41501500;1012;3.96;3960;2105.4;4150-22;136;1500;0;1513.983726;50;40;21;13;10;1.31;3.99;Zehnder;Charleston;Kat_1;;Gliederheizkoerper;Stahl;Wandkonsole;4;;;2105.4;1434;0.47564;0.47;2.6312;2.6;4.03788;3.99;15;15.5;180;4150;22;95.70;180.0;;4saeuler;;;
41801800;1012;4.686;4686;2741.2;4180-22;136;1800;0;873.0736591;40;30;21;13;10;1.32;4.76;Zehnder;Charleston;Kat_2;;Gliederheizkoerper;Stahl;Wandkonsole;4;;;2741.2;1734;0.56672;0.56;3.1372;3.1;4.81712;4.76;15;18.3;213;4180;22;124.60;213.0;;4saeuler;;;
5045450;1518;2.5014;2501.4;1907.4;5045-33;173;450;0;496.6767668;40;30;21;13;10;1.27;1.67;Zehnder;Charleston;Kat_2;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_1_Sonderfarbe;4;;;1907.4;384;0.25806;0.17;1.8216;1.2;2.53506;1.67;14;6.5;75.8;5045;33;57.80;75.8;;5saeuler;;;
5050500;1518;2.7555;2755.5;1937.1;5050-33;173;500;0;1688.444285;60;50;21;13;10;1.27;1.83;Zehnder;Charleston;Standard;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_1_RAL9016;4;;;1937.1;434;0.28842;0.19;1.9734;1.3;2.77794;1.83;14;7.2;83.5;5050;33;58.70;83.5;;5saeuler;;;
5055550;1518;3.0063;3006.3;1999.8;5055-33;173;550;0;1183.610171;50;40;21;13;10;1.27;2;Zehnder;Charleston;Kat_1;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_1_RAL9016;4;;;1999.8;484;0.3036;0.2;1.9734;1.3;3.036;2;14;7.8;91.1;5055;33;60.60;91.1;;5saeuler;;;
5060600;1518;3.2538;3253.8;2059.2;5060-33;173;600;0;1993.779719;60;50;21;13;10;1.27;2.16;Zehnder;Charleston;Standard;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_1_RAL9016;4;;;2059.2;534;0.34914;0.23;2.277;1.5;3.27888;2.16;13;8.5;98.6;5060;33;62.40;98.6;;5saeuler;;;
5075750;1518;3.96;3960;2179.65;5075-33;173;750;0;1570.576681;50;40;21;13;10;1.26;2.65;Zehnder;Charleston;Kat_1;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_1_RAL9016;4;;;2179.65;684;0.44022;0.29;2.7324;1.8;4.0227;2.65;13;10.3;120;5075;33;66.05;120.0;;5saeuler;;;
5090900;1518;4.653;4653;2362.8;5090-33;173;900;0;947.7211914;40;30;21;13;10;1.25;3.14;Zehnder;Charleston;Kat_2;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_1_RAL9016;4;;;2362.8;834;0.5313;0.35;3.1878;2.1;4.76652;3.14;13;12.1;141;5090;33;71.60;141.0;;5saeuler;;;
51001000;1518;5.082;5082;2479.95;5100-33;173;1000;0;3138.129067;60;50;21;13;10;1.25;3.47;Zehnder;Charleston;Standard;;Gliederheizkoerper;Stahl;Wandkonsole_CVD_1_RAL9016;4;;;2479.95;934;0.59202;0.39;3.4914;2.3;5.26746;3.47;13;13.2;154;5100;33;75.15;154.0;;5saeuler;;;
