Verketten;Laenge;2_a_Leistung 2 (hyd) [kW];Normleistung;Preis;Typ;Breite;Hoehe;H_Lam;2_a_Leistung 1 (hyd) [kW];2_a_Temperatur 1 [C];2_a_Temperatur 2 [C];2_a_Temperatur 3 [C];Nenndruck bar Extra (%);Nenndruck PN (bar);Exponential;Gewicht leer (kg);3_a_Fabrikat;Modelle;3_c_Farbe 1;Farbe Extra;Ausfuehrung;3_c_Material 1;Zubehoer;Zubehoeranzahl;Zubehoereinzelpreis;Zubehoer_Total_Preis;Total_Preis;N(mm)/1m;A(m2);A(m2)/1m;V(dm3);V(dm3)/1m;M(kg);M(kg)/1m;S_k(%)/1m;q_ms_(kg/h)/1m;Waermeleistung_50K/1m;Charleston_Typ;Stueck;Einzelpreis;Watt_pro_element;Horizontal_Vertikal;Main Typ;Preis mit AB;Nennbauhoehe;Grundpreis
NHLH21/07212;1300;0.637;637.00;752;NHLH21/07;53;212;55;393.3467564;60;50;21;13;4.6;1.25;13.70;Zehnder;Nova;Standard;0;Heizwand;Stahl;Wandkonsole_CVD_0_RAL9016;4;4.25;17;769;172.00;1.95;1.50;3.43;2.64;17.81;13.70;17.00;42.00;490.00;;;;;;NHLH;;;
NHLLH28/28283;600;0.637;637.00;838;NHLLH28/28;92;283;265;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;Stahl;;;;;838;243.00;3.07;5.12;2.12;3.54;14.99;24.99;12.00;91.00;1062.00;;;;;;NHLLH;;;
NHLLH35/21354;600;0.637;637.00;910;NHLLH35/21;92;354;195;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;;;4;;;910;314.00;2.69;4.48;2.66;4.43;15.95;26.59;15.00;91.00;1062.00;;;;;;NHLLH;;;
NHL84/56851;500;0.637;637.00;695;NHL84/56;60;851;541;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHL21/21212;1400;0.638;638.00;487;NHL21/21;45;212;125;393.9642552;60;50;21;13;4.6;1.25;9.73;Zehnder;Nova;Standard;0;Heizwand;Stahl;Wandkonsole_CVD_1_RAL9016;4;4.95;19.8;506.8;172;2.73;1.95;1.85;1.32;13.62;9.73;19;39;456;;;;;;NHL;;;
NHLH70/28709;500;0.638;638.00;1137;NHLH70/28;53;709;265;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN21317;800;0.638;638.00;1027.45;THN21;102;317;320;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN91317;800;0.638;638.00;980.76;THN91;61;317;320;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
ZRV21170;1900;;638.00;484;ZRV211;73;70;0;;;;;;;;;Zehnder;;;;Konvektor;;;;;;;;;;;;;;;;;;;;;;;;;
NHL35/35354;900;0.639;639.00;517;NHL35/35;60;354;330;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;;;4;;;517;314;3.65;4.06;1.99;2.21;15.87;17.63;20;61;710;;;;;;NHL;;;
NHLLHL21/07212;900;0.639;639.00;850;NHLLHL21/07;128;212;55;135.2177348;40;30;21;13;4.6;1.22;15.32;Zehnder;Nova;Kat_2;25;Heizwand;Stahl;Wandkonsole_CVD_0_RAL9016;4;4.25;17;1079.5;172.00;2.03;2.25;2.39;2.65;13.79;15.32;18;61;710;;;;;;NHLLHL;;;
NHL77/28780;600;0.639;639.00;679;NHL77/28;60;780;265;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN11157;1700;0.639;639.00;511;THN11;60;157;160;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
THN11397;800;0.639;639.00;602.87;THN11;60;397;400;;;;;;;;;Prolux;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHLLH49/21496;500;0.641;641.00;1020;NHLLH49/21;92;496;195;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;Stahl;;;;;1020;456.00;2.58;5.16;3.10;6.20;17.17;34.34;16.00;110.00;1281.00;;;;;;NHLLH;;;
NHLLHL28/28283;500;0.641;641.00;855;NHLLHL28/28;128;283;265;#ZAHL!;;;;;;;;Zehnder;Nova;;;Heizwand;Stahl;;;;;855;243.00;3.53;7.05;1.77;3.54;14.88;29.76;11;110;1281;;;;;;NHLLHL;;;
NHLH98/35993;400;0.641;641.00;1391;NHLH98/35;53;993;330;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
"NHLLH49/21496";500;0.641;641.00;1020;"NHLLH49/21";92;496;195;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
NHL49/07496;1000;0.642;642.00;607;NHL49/07;60;496;55;;;;;;;;;Zehnder;;;;Heizwand;;;;;;;;;;;;;;;;;;;;;;;;;
